ID_Ticket,Technicien,Priorité,Statut,Type_Problème,Description,Date_Création,Date_Résolution
TICK-01-001,Tech_01,Basse,Fermé,Accès,Problème de Email signalé par l'utilisateur.,2026-02-08,2026-02-19
TICK-01-002,Tech_01,Haute,Résolu,Sauvegarde,Problème de Accès signalé par l'utilisateur.,2026-02-27,
TICK-01-003,Tech_01,Moyenne,Résolu,Accès,Problème de Logiciel signalé par l'utilisateur.,2026-02-05,
TICK-01-004,Tech_01,Critique,En cours,Accès,Problème de Matériel signalé par l'utilisateur.,2026-01-24,
TICK-01-005,Tech_01,Basse,Fermé,Matériel,Problème de Autre signalé par l'utilisateur.,2026-01-12,2026-01-25
TICK-01-006,Tech_01,Haute,En cours,Réseau,Problème de Email signalé par l'utilisateur.,2026-01-28,
TICK-01-007,Tech_01,Haute,Ouvert,Email,Problème de Accès signalé par l'utilisateur.,2026-02-21,
TICK-01-008,Tech_01,Basse,Fermé,Logiciel,Problème de Autre signalé par l'utilisateur.,2026-01-09,
TICK-01-009,Tech_01,Critique,En cours,Email,Problème de Sauvegarde signalé par l'utilisateur.,2026-01-09,
TICK-01-010,Tech_01,Critique,Ouvert,Logiciel,Problème de Sauvegarde signalé par l'utilisateur.,2026-02-16,
TICK-01-011,Tech_01,Moyenne,En cours,Imprimante,Problème de Mot de passe signalé par l'utilisateur.,2026-01-04,
TICK-01-012,Tech_01,Moyenne,Fermé,Autre,Problème de Imprimante signalé par l'utilisateur.,2026-01-29,2026-02-08
TICK-01-013,Tech_01,Haute,En cours,Virus,Problème de Sauvegarde signalé par l'utilisateur.,2026-01-14,
TICK-01-014,Tech_01,Basse,Résolu,Sauvegarde,Problème de Autre signalé par l'utilisateur.,2026-01-21,2026-01-23
TICK-01-015,Tech_01,Basse,Ouvert,Matériel,Problème de Virus signalé par l'utilisateur.,2026-01-25,
TICK-01-016,Tech_01,Critique,Fermé,Sauvegarde,Problème de Réseau signalé par l'utilisateur.,2026-01-07,2026-01-08
TICK-01-017,Tech_01,Haute,Ouvert,Accès,Problème de Autre signalé par l'utilisateur.,2026-01-17,
TICK-01-018,Tech_01,Basse,Résolu,Sauvegarde,Problème de Logiciel signalé par l'utilisateur.,2026-02-08,2026-02-20
TICK-01-019,Tech_01,Moyenne,Résolu,Sauvegarde,Problème de Accès signalé par l'utilisateur.,2026-02-02,
TICK-01-020,Tech_01,Haute,Résolu,Matériel,Problème de Réseau signalé par l'utilisateur.,2026-02-04,2026-02-10
TICK-01-021,Tech_01,Basse,Ouvert,Autre,Problème de Email signalé par l'utilisateur.,2026-02-06,
TICK-01-022,Tech_01,Haute,Résolu,Autre,Problème de Autre signalé par l'utilisateur.,2026-01-14,2026-01-23
TICK-01-023,Tech_01,Critique,Résolu,Email,Problème de Matériel signalé par l'utilisateur.,2026-03-01,
TICK-01-024,Tech_01,Basse,En cours,Email,Problème de Email signalé par l'utilisateur.,2026-02-21,
TICK-01-025,Tech_01,Basse,Fermé,Email,Problème de Réseau signalé par l'utilisateur.,2026-02-14,2026-02-27
TICK-01-026,Tech_01,Moyenne,Ouvert,Virus,Problème de Accès signalé par l'utilisateur.,2026-01-22,
TICK-01-027,Tech_01,Critique,Fermé,Autre,Problème de Email signalé par l'utilisateur.,2026-01-06,2026-01-18
TICK-01-028,Tech_01,Basse,Ouvert,Virus,Problème de Virus signalé par l'utilisateur.,2026-01-28,
TICK-01-029,Tech_01,Moyenne,Résolu,Sauvegarde,Problème de Virus signalé par l'utilisateur.,2026-02-21,2026-02-24
TICK-01-030,Tech_01,Critique,Fermé,Mot de passe,Problème de Sauvegarde signalé par l'utilisateur.,2026-02-06,2026-02-16
TICK-02-001,Tech_02,Moyenne,Ouvert,Imprimante,Problème de Email signalé par l'utilisateur.,2026-02-10,
TICK-02-002,Tech_02,Critique,Ouvert,Matériel,Problème de Matériel signalé par l'utilisateur.,2026-01-02,
TICK-02-003,Tech_02,Basse,Résolu,Matériel,Problème de Matériel signalé par l'utilisateur.,2026-01-02,2026-01-08
TICK-02-004,Tech_02,Moyenne,Fermé,Mot de passe,Problème de Email signalé par l'utilisateur.,2026-01-19,2026-01-24
TICK-02-005,Tech_02,Haute,Fermé,Matériel,Problème de Mot de passe signalé par l'utilisateur.,2026-01-04,
TICK-02-006,Tech_02,Moyenne,En cours,Matériel,Problème de Virus signalé par l'utilisateur.,2026-01-24,
TICK-02-007,Tech_02,Critique,Résolu,Imprimante,Problème de Réseau signalé par l'utilisateur.,2026-03-01,2026-03-14
TICK-02-008,Tech_02,Critique,Fermé,Email,Problème de Imprimante signalé par l'utilisateur.,2026-01-26,2026-01-29
TICK-02-009,Tech_02,Critique,En cours,Matériel,Problème de Virus signalé par l'utilisateur.,2026-02-10,
TICK-02-010,Tech_02,Haute,En cours,Email,Problème de Autre signalé par l'utilisateur.,2026-01-25,
TICK-02-011,Tech_02,Moyenne,Ouvert,Matériel,Problème de Accès signalé par l'utilisateur.,2026-02-17,
TICK-02-012,Tech_02,Basse,Ouvert,Réseau,Problème de Réseau signalé par l'utilisateur.,2026-02-06,
TICK-02-013,Tech_02,Moyenne,Fermé,Sauvegarde,Problème de Matériel signalé par l'utilisateur.,2026-02-17,2026-02-21
TICK-02-014,Tech_02,Critique,Fermé,Mot de passe,Problème de Sauvegarde signalé par l'utilisateur.,2026-01-24,2026-01-25
